referecenceId,referenceName,referenceUrlDownload
NETTER'S,"NETTER, F. H. Atlas de Anatomia Humana. 7. ed. Rio de Janeiro: Elsevier, 2019.",https://docs.google.com/uc?export=download&id=1eFOIjpa_rp5Zx_wlk3ujlcziUp9dp2E3
SIZÍNIO,"HEBERT, S.K.; LECH, O. Ortopedia e Traumatologia: Princípios e Práticas. Volumes 1 e 2. 6 ed. Rio de Janeiro: DiLivros, 2025.",https://docs.google.com/uc?export=download&id=1XbQ19lBj8l2fGbI6LcEPPHjoJ4VXvm4X
GERALDO MOTTA,"MOTTA FILHO, G. R.; BARROS FILHO, T. E. P. Ortopedia e Traumatologia. 1. ed. Rio de Janeiro: Elsevier, 2018.",https://docs.google.com/uc?export=download&id=19YXwgEDDyEtWt3wB6iyNK4PFFg0OjKik
ROCKWOOD'S,"TORNETTA III, P.; RICCI, W. M.; OSTRUM, R. F.; McKEE, M. D.; OLIVERE B. J.; RIDDER, V. A. Rockwood and Green’s Fractures in Adults. 10 ed. Philadelphia: Wolters Kluwer, 2024.",https://docs.google.com/uc?export=download&id=1CAPNpcbi8d8El_s8fz88KfrxjKyIXsze
CAMPBELL'S,"AZAR, F. M.; BEATY, J. H. Campbell’s operative orthopaedics. 14. ed. Philadelphia: Elsevier, 2021.",https://docs.google.com/uc?export=download&id=12GbgA-V8fF2YYi8KDZjdwMEL4RbunUOL
LOVELL'S,"WEINSTEIN, S. L.; FLYNN, J. M. Lovell and Winter’s pediatric orthopaedics. 8. ed. Philadelphia: Lippincott Williams & Wilkins, 2021.",https://docs.google.com/uc?export=download&id=1AUqZ65R9ZxxM9yzmZWL_Z1qfxrT3a-XU
FALOPPA,"LEITE, N. M.; FALOPPA, F. Propedêutica Ortopédica e Traumatológica. 1. ed. Porto Alegre: Artmed, 2013.",https://docs.google.com/uc?export=download&id=1BbbMRRgKrqHr7xP0UDh1GNwuvXSQ4_lr
OSVANDRÉ,"BARROS FILHO, T. E. P.; LECH, O. Exame físico em ortopedia. 3. ed. São Paulo: Sarvier, 2017.",https://docs.google.com/uc?export=download&id=1uNKNFdU_iCCRKl2jfE1sBqHnKmRVY0p8
TACHDJIAN'S,"HERRING, J. A. Tachdjian’s pediatric orthopaedics. 6. ed. Philadelphia: Elsevier, 2022.",https://docs.google.com/uc?export=download&id=1PZg4SEZkqXwJA0eTdjLSKOxReoLERY2G
ROCKWOOD'S PED,"WATERS, P. M.; SKAGGS, D. L.; FLYNN, J. M. Rockwood and Wilkins’ Fractures in Children. 10 ed. Philadelphia: Wolters Kluwer, 2024.",https://docs.google.com/uc?export=download&id=1O5CPRrO_8Z2kIv7dsBBgOYJ-7ANAB9JJ
